地區,選區,姓名,教育程度,性別,性別_bin,出生年次,年齡,在位與否,原選區連任,推薦政黨,競爭激烈(Entropy),人口密度,政黨地位(上屆政黨得票率),有無臉書,臉書連結,PageRank,Density,Mutuality,Betweenness,Closeness,得票數,得票率,當選,政黨立場,泛藍,中立,泛綠,學歷等級
新竹市,1,柯美蘭,碩士,0,0,1951,73,0,0.0,無,1.74,3451.42,0.0,1,https://www.facebook.com/p/%E6%9F%AF%E7%BE%8E%E8%98%AD-61551043409062/?locale=zh_TW,0.002339425,0.0,0.0,0.0,0.005617978,"51,663",0.1978,0,0,0,1,0,3
新竹市,1,王榮德,高中職以下,1,1,1942,82,0,0.0,無,1.74,3451.42,0.0,0,,0.0,0.0,0.0,0.0,0.0,405,0.0016,0,0,0,1,0,1
新竹市,1,林志潔,博士,0,0,1962,62,0,0.0,民主進步黨,1.74,3451.42,0.283322505,1,https://www.facebook.com/CarolLinNCTULAW/?locale=zh_TW,0.00839429,0.033707865,0.833333333,0.001454869,0.336869168,"83,298",0.3189,0,1,0,0,1,4
新竹市,1,邱顯智,碩士,1,1,1965,59,0,0.0,時代力量,1.74,3451.42,0.115082828,1,https://www.facebook.com/LawyerHandyChiu/?locale=zh_TW,0.015810259,0.005617978,1.0,0.000458024,0.275235593,"33,023",0.1264,0,1,0,0,1,3
新竹市,1,鄭正鈐,博士,1,1,1958,66,0,1.0,中國國民黨,1.74,3451.42,0.320671083,1,https://www.facebook.com/CCCHsinchu/?locale=zh_TW,0.00601756,0.101123596,0.388888889,0.00474508,0.276045568,"92,014",0.3522,1,-1,1,0,0,4
南投縣,1,馬文君,碩士,0,0,1954,70,0,1.0,中國國民黨,1.0,93.88,0.399196363,1,https://www.facebook.com/mawenchun/?locale=zh_TW,0.001910374,0.02247191,0.0,0.0,0.220836454,"68,890",0.5309,1,-1,1,0,0,3
南投縣,1,許文忠,博士,1,1,1964,60,0,0.0,勞動黨,1.0,93.88,0.001644731,1,https://www.facebook.com/people/%E8%A8%B1%E6%96%87%E5%BF%A0/100093701665452/?_rdr,0.0,0.0,0.0,0.0,0.0,"3,577",0.0276,0,-1,1,0,0,4
南投縣,1,蔡銘軒,碩士,1,1,1973,51,0,0.0,民主進步黨,1.0,93.88,0.309461461,1,https://www.facebook.com/tsai0915276181/?locale=zh_TW,0.005641128,0.050561798,0.555555556,0.001304481,0.318514117,"50,886",0.3922,0,1,0,0,1,3
南投縣,1,李圓恩,碩士,0,0,1969,55,0,0.0,小民參政歐巴桑聯盟,1.0,93.88,0.0,0,,0.0,0.0,0.0,0.0,0.0,"3,035",0.0234,0,1,0,0,1,3
南投縣,1,林金潭,學士,1,1,1946,78,0,0.0,無,1.0,93.88,0.0,0,,0.0,0.0,0.0,0.0,0.0,"3,373",0.026,0,0,0,1,0,2
南投縣,2,陳癸佑,學士,1,1,1957,67,0,0.0,無,1.26,105.74,0.0,1,https://www.facebook.com/Taiwanpliceman/,0.00164168,0.039325843,0.0,0.0,0.0,"4,023",0.0286,0,0,0,1,0,2
南投縣,2,蔡培慧,博士,0,0,1960,64,0,0.0,民主進步黨,1.26,105.74,0.309461461,1,https://www.facebook.com/ahuitsai.tw/?locale=zh_TW,0.01080603,0.185393258,0.606060606,0.006362267,0.332362557,"66,551",0.4734,0,1,0,0,1,4
南投縣,2,游顥,碩士,1,1,1972,52,0,0.0,中國國民黨,1.26,105.74,0.399196363,1,https://www.facebook.com/nantou.yuhao/?locale=zh_TW,0.006586136,0.258426966,0.369565217,0.030597635,0.287215042,"70,012",0.498,1,-1,1,0,0,3
雲林縣,1,郭炳宏,學士,1,1,1987,37,0,0.0,中華統一促進黨,1.19,403.87,0.003291932,0,,0.0,0.0,0.0,0.0,0.0,445,0.0025,0,0,0,1,0,2
雲林縣,1,吳炳輝,學士,1,1,1956,68,0,0.0,無,1.19,403.87,0.0,1,https://www.facebook.com/p/%E5%90%B3%E7%82%B3%E8%BC%9D%E7%AB%8B%E5%A7%94%E5%80%99%E9%81%B8%E4%BA%BA-100064082461516/,0.0,0.0,0.0,0.0,0.0,"1,470",0.0083,0,0,0,1,0,2
雲林縣,1,蘇治芬,碩士,0,0,1942,82,0,1.0,民主進步黨,1.19,403.87,0.380376908,1,https://www.facebook.com/suchihfen/?locale=zh_TW,0.009560825,0.073033708,0.384615385,0.002887021,0.332362557,"81,707",0.4606,0,1,0,0,1,3
雲林縣,1,李昭儀,學士,0,0,1974,50,0,0.0,台灣革命黨,1.19,403.87,0.0,1,https://www.facebook.com/li.zhao.yi.412925/,0.00164168,0.033707865,0.0,0.0,0.0,"3,072",0.0173,0,0,0,1,0,2
雲林縣,1,丁學忠,碩士,1,1,1959,65,0,0.0,中國國民黨,1.19,403.87,0.3049722,1,https://www.facebook.com/ding.ding0628/?locale=zh_TW,0.00553137,0.04494382,0.625,0.005206262,0.262206872,"84,736",0.4777,1,-1,1,0,0,3
雲林縣,1,陳俊龍,碩士,1,1,1958,66,0,0.0,無,1.19,403.87,0.0,1,https://www.facebook.com/inRED5/?locale=zh_TW,0.00164168,0.028089888,0.0,0.0,0.0,"5,965",0.0336,0,0,0,1,0,3
雲林縣,2,劉建國,碩士,1,1,1958,66,0,1.0,民主進步黨,1.17,462.54,0.380376908,1,https://www.facebook.com/liucnko.fans/?locale=zh_TW,0.005930002,0.0,0.0,0.0,0.315238764,"115,376",0.5948,1,1,0,0,1,3
雲林縣,2,邱良閱,碩士,1,1,1971,53,0,0.0,中國國民黨,1.17,462.54,0.3049722,0,,0.0,0.0,0.0,0.0,0.0,"78,596",0.4052,0,-1,1,0,0,3
澎湖縣,1,楊曜,學士,1,1,1955,69,0,1.0,民主進步黨,1.08,720.1,0.343100036,1,https://www.facebook.com/p/%E6%A5%8A%E6%9B%9CYangyao-100058282801022/?locale=zh_TW,0.00164168,0.061797753,0.0,0.0,0.0,"24,669",0.5095,1,1,0,0,1,2
澎湖縣,1,吳政杰,碩士,1,1,1956,68,0,0.0,中國國民黨,1.08,720.1,0.371794354,1,https://www.facebook.com/photo/?fbid=350716107103005&set=a.350716073769675&locale=zh_TW,0.005958455,0.0,0.0,0.0,0.206426694,"20,226",0.4177,0,-1,1,0,0,3
澎湖縣,1,陳慧娟,學士,0,0,1952,72,0,0.0,無,1.08,720.1,0.0,0,,0.0,0.0,0.0,0.0,0.0,"3,525",0.0728,0,0,0,1,0,2
苗栗縣,1,康世明,學士,1,1,1958,66,0,,民主進步黨,1.52,391.45,0.251543862,1,https://www.facebook.com/profile.php?id=100002949336408,0.0,0.0,0.0,0.0,0.0,"60,358",0.4315,0,1,0,0,1,2
苗栗縣,1,陳超明,學士,1,1,1940,84,1,,無,1.52,391.45,0.0,1,https://www.facebook.com/profile.php?id=100000526333158,0.0,0.0,0.0,0.0,0.0,"79,521",0.5685,1,0,0,1,0,2
